set_freq,meas_freq,success,fail,total,time
226000000,81788928,1000000,0,1000000,3555
226000000,81690624,1000000,0,1000000,3553
226000000,82018304,1000000,0,1000000,3550
226000000,81887232,1000000,0,1000000,3554
226000000,81854464,1000000,0,1000000,3555
226000000,81854464,1000000,0,1000000,3557
226000000,82018304,1000000,0,1000000,3551
226000000,82083840,1000000,0,1000000,3563
226000000,81887232,1000000,0,1000000,3557
226000000,81952768,1000000,0,1000000,3547
226000000,81854464,1000000,0,1000000,3554
226000000,82018304,1000000,0,1000000,3559
226000000,81756160,1000000,0,1000000,3557
226000000,81887232,1000000,0,1000000,3552
226000000,81920000,1000000,0,1000000,3547
226000000,81985536,1000000,0,1000000,3546
226000000,81854464,1000000,0,1000000,3554
226000000,81854464,1000000,0,1000000,3553
226000000,81952768,1000000,0,1000000,3551
226000000,81985536,1000000,0,1000000,3557
226000000,81887232,1000000,0,1000000,3559
226000000,81887232,1000000,0,1000000,3553
226000000,81887232,1000000,0,1000000,3547
226000000,81723392,1000000,0,1000000,3557
226000000,81821696,1000000,0,1000000,3550
226000000,81985536,1000000,0,1000000,3555
226000000,81756160,1000000,0,1000000,3553
226000000,81821696,1000000,0,1000000,3555
226000000,81625088,1000000,0,1000000,3562
226000000,81821696,1000000,0,1000000,3546
226000000,82051072,1000000,0,1000000,3551
226000000,81854464,1000000,0,1000000,3557
226000000,81887232,1000000,0,1000000,3551
226000000,81887232,1000000,0,1000000,3558
226000000,82083840,1000000,0,1000000,3550
226000000,81821696,1000000,0,1000000,3553
226000000,81756160,1000000,0,1000000,3557
226000000,81887232,1000000,0,1000000,3556
226000000,81821696,1000000,0,1000000,3561
226000000,81788928,1000000,0,1000000,3556
226000000,81690624,1000000,0,1000000,3552
226000000,81887232,1000000,0,1000000,3549
226000000,81723392,1000000,0,1000000,3551
226000000,81920000,1000000,0,1000000,3554
226000000,81788928,1000000,0,1000000,3557
226000000,81952768,1000000,0,1000000,3559
226000000,81985536,1000000,0,1000000,3556
226000000,82051072,1000000,0,1000000,3554
226000000,81788928,1000000,0,1000000,3557
226000000,81952768,1000000,0,1000000,3556
226000000,81887232,1000000,0,1000000,3558
226000000,81952768,1000000,0,1000000,3558
226000000,81854464,1000000,0,1000000,3552
226000000,81756160,1000000,0,1000000,3568
226000000,81920000,1000000,0,1000000,3555
226000000,81821696,1000000,0,1000000,3552
226000000,81854464,1000000,0,1000000,3558
226000000,81821696,1000000,0,1000000,3551
226000000,82018304,1000000,0,1000000,3555
226000000,81985536,1000000,0,1000000,3553
226000000,81821696,1000000,0,1000000,3548
226000000,81657856,1000000,0,1000000,3552
226000000,82051072,1000000,0,1000000,3553
226000000,81821696,1000000,0,1000000,3549
226000000,81592320,1000000,0,1000000,3550
226000000,81756160,1000000,0,1000000,3553
226000000,81854464,1000000,0,1000000,3554
226000000,81887232,1000000,0,1000000,3553
226000000,81854464,1000000,0,1000000,3552
226000000,81723392,1000000,0,1000000,3552
226000000,81887232,1000000,0,1000000,3558
226000000,81887232,1000000,0,1000000,3547
226000000,81690624,1000000,0,1000000,3553
226000000,81887232,1000000,0,1000000,3556
226000000,81920000,1000000,0,1000000,3553
226000000,81920000,1000000,0,1000000,3556
226000000,81985536,1000000,0,1000000,3555
226000000,81920000,1000000,0,1000000,3556
226000000,81920000,1000000,0,1000000,3550
226000000,82018304,1000000,0,1000000,3556
226000000,82051072,1000000,0,1000000,3555
226000000,81952768,1000000,0,1000000,3556
226000000,82116608,1000000,0,1000000,3557
226000000,81854464,1000000,0,1000000,3562
226000000,81788928,1000000,0,1000000,3554
226000000,81854464,1000000,0,1000000,3549
226000000,81887232,1000000,0,1000000,3558
226000000,82083840,1000000,0,1000000,3555
226000000,81854464,1000000,0,1000000,3556
226000000,82051072,1000000,0,1000000,3550
226000000,82018304,1000000,0,1000000,3546
226000000,81788928,1000000,0,1000000,3559
226000000,81985536,1000000,0,1000000,3557
226000000,81821696,1000000,0,1000000,3552
226000000,81788928,1000000,0,1000000,3551
226000000,81690624,1000000,0,1000000,3559
226000000,81788928,1000000,0,1000000,3561
226000000,81756160,1000000,0,1000000,3559
226000000,81592320,1000000,0,1000000,3557
226000000,81690624,1000000,0,1000000,3558
