set_freq,meas_freq,success,fail,total,voltage
221000000,221413376,1000000,0,1000000,1000
221000000,221675520,1000000,0,1000000,1000
221000000,221937664,1000000,0,1000000,1000
221000000,222167040,1000000,0,1000000,1000
221000000,221872128,1000000,0,1000000,1000
221000000,221478912,1000000,0,1000000,1000
221000000,222593024,1000000,0,1000000,1000
221000000,221839360,1000000,0,1000000,1000
221000000,221478912,1000000,0,1000000,1000
221000000,222265344,1000000,0,1000000,1000
221000000,221577216,1000000,0,1000000,1000
221000000,221806592,1000000,0,1000000,1000
221000000,221806592,1000000,0,1000000,1000
221000000,222003200,1000000,0,1000000,1000
221000000,221609984,1000000,0,1000000,1000
221000000,221773824,1000000,0,1000000,1000
221000000,221937664,1000000,0,1000000,1000
221000000,221675520,1000000,0,1000000,1000
221000000,221904896,1000000,0,1000000,1000
221000000,221708288,1000000,0,1000000,1000
222000000,223084544,1000000,0,1000000,1000
222000000,222593024,1000000,0,1000000,1000
222000000,222691328,1000000,0,1000000,1000
222000000,223019008,1000000,0,1000000,1000
222000000,222363648,1000000,0,1000000,1000
222000000,222724096,1000000,0,1000000,1000
222000000,222429184,1000000,0,1000000,1000
222000000,222822400,1000000,0,1000000,1000
222000000,222691328,1000000,0,1000000,1000
222000000,223084544,1000000,0,1000000,1000
222000000,222494720,1000000,0,1000000,1000
222000000,222560256,1000000,0,1000000,1000
222000000,222986240,1000000,0,1000000,1000
222000000,222265344,1000000,0,1000000,1000
222000000,222887936,1000000,0,1000000,1000
222000000,222134272,1000000,0,1000000,1000
222000000,222593024,1000000,0,1000000,1000
222000000,222035968,1000000,0,1000000,1000
222000000,222658560,1000000,0,1000000,1000
222000000,222822400,1000000,0,1000000,1000
223000000,223051776,1000000,0,1000000,1000
223000000,222756864,1000000,0,1000000,1000
223000000,222986240,1000000,0,1000000,1000
223000000,222986240,1000000,0,1000000,1000
223000000,223051776,1000000,0,1000000,1000
223000000,222822400,1000000,0,1000000,1000
223000000,222330880,1000000,0,1000000,1000
223000000,222855168,1000000,0,1000000,1000
223000000,223313920,1000000,0,1000000,1000
223000000,222593024,1000000,0,1000000,1000
223000000,223215616,1000000,0,1000000,1000
223000000,223346688,1000000,0,1000000,1000
223000000,223182848,1000000,0,1000000,1000
223000000,223117312,1000000,0,1000000,1000
223000000,223019008,1000000,0,1000000,1000
223000000,223182848,1000000,0,1000000,1000
223000000,222986240,1000000,0,1000000,1000
223000000,223084544,1000000,0,1000000,1000
223000000,223510528,1000000,0,1000000,1000
223000000,222822400,1000000,0,1000000,1000
224000000,224493568,990000,1,990001,1000
224000000,224329728,996524,1,996525,1000
224000000,224821248,1000000,0,1000000,1000
224000000,224591872,1000000,0,1000000,1000
224000000,223969280,998247,1,998248,1000
224000000,224559104,1000000,0,1000000,1000
224000000,224493568,990000,1,990001,1000
224000000,225181696,1000000,0,1000000,1000
224000000,224919552,1000000,0,1000000,1000
224000000,224460800,996524,1,996525,1000
224000000,224690176,1000000,0,1000000,1000
224000000,224952320,990000,1,990001,1000
224000000,224821248,1000000,0,1000000,1000
224000000,224460800,1000000,0,1000000,1000
224000000,224591872,1000000,0,1000000,1000
224000000,224755712,1000000,0,1000000,1000
224000000,224100352,1000000,0,1000000,1000
224000000,224755712,1000000,0,1000000,1000
224000000,224460800,1000000,0,1000000,1000
224000000,224591872,1000000,0,1000000,1000
